29802.9863281250	91133.1406250000	85242.3984375000
16244.8935546875	51578.4140625000	61334.3281250000
15766.2958984375	49310.0976562500	87777.8046875000
15294.3291015625	47572.6601562500	67373.0000000000
14220.7910156250	38748.0078125000	57741.9335937500
14503.2695312500	22499.0585937500	48309.7148437500
8032.0751953125	14808.0693359375	35926.1679687500
7964.0439453125	14617.5898437500	42499.8828125000
7761.7060546875	14405.3115234375	36894.6875000000
7568.6894531250	13599.7021484375	33166.3242187500
7391.8520507813	13485.9882812500	26541.7929687500
7265.6538085938	13084.3603515625	31189.1464843750
6997.6660156250	13012.0390625000	25054.0351562500
6933.5800781250	12322.0087890625	24973.3652343750
6754.4243164063	11922.2529296875	25766.7011718750
3810.3637695313	6870.8466796875	20031.2265625000
3602.5485839844	6732.6098632813	18758.9296875000
3712.4162597656	6677.0229492188	17776.0468750000
3554.3505859375	4028.6369628906	12566.0195312500
3553.4494628906	3987.6303710938	12075.9453125000
3473.4294433594	3977.3071289063	11701.4218750000
3476.1923828125	3903.9929199219	11430.0146484375
3381.7375488281	3776.7873535156	11377.6835937500
3351.6660156250	3771.7702636719	10933.2402343750
